DIPP-MOTION XYGraphData,,,,,,,,
Info,,,,,,,,
[ポイント_X_座標値] - [ポイント_Y_座標値],,,,,,,,
横軸単位,mm,,,,,,,
縦軸単位,mm,,,,,,,
系列名,[1]P 1,[2]P 2,[3]P 3,[4]P 4,,,,
色,255,65280,16711680,65535,,,,
時間,P 1(X),P 1(Y),P 2(X),P 2(Y),P 3(X),P 3(Y),P 4(X),P 4(Y)
0.077,1.21E-11,-6.54E-13,-19.40633863,-217.7091181,-55.84192795,-333.579835,-19.28237596,-333.6323032
0.078,-1.33E-11,1.28E-12,-19.35199566,-217.7266479,-55.84688663,-333.5978951,-19.33874405,-333.5984985
0.079,7.28E-12,3.24E-12,-19.21003925,-217.764942,-55.7628861,-333.634856,-19.30976436,-333.5865121
0.08,-8.64E-12,2.70E-12,-18.98505112,-217.8187214,-55.59400084,-333.686411,-19.20048887,-333.5926574
0.081,-4.21E-12,-4.09E-12,-18.84611457,-217.8409105,-55.50880689,-333.7064565,-19.18047114,-333.5714511
0.082,-7.96E-12,-2.76E-12,-18.73757821,-217.8502333,-55.45114565,-333.7146888,-19.19453006,-333.5432095
0.083,-5.46E-12,-1.90E-12,-18.57702877,-217.8526902,-55.33882245,-333.7167329,-19.16144849,-333.5141782
0.084,-1.05E-11,-1.73E-12,-18.45134888,-217.8451245,-55.25810931,-333.7101265,-19.16847593,-333.4825148
0.085,2.84E-12,4.58E-12,-18.31759091,-217.8677947,-55.16605726,-333.7345139,-19.17364094,-333.4884838
0.086,-6.37E-12,1.14E-13,-18.1630893,-217.8775811,-55.04955504,-333.7468233,-19.16525416,-333.4889715
0.087,2.16E-11,2.96E-12,-17.99292244,-217.8527322,-54.91478872,-333.7246676,-19.14872275,-333.4627125
0.088,-3.18E-12,3.41E-13,-17.85110465,-217.8216797,-54.80646863,-333.6965697,-19.16854442,-333.4370813
0.089,1.31E-11,-1.93E-12,-17.71594334,-217.815413,-54.7035982,-333.6936093,-19.20302237,-333.4425305
0.09,4.21E-12,-2.33E-12,-17.58222745,-217.7959811,-54.60166236,-333.6779266,-19.24694132,-333.4405729
0.091,-6.03E-12,-3.98E-12,-17.40790448,-217.7375396,-54.45930464,-333.6237677,-19.25824454,-333.4048275
0.092,-2.03E-11,-6.25E-13,-17.26090186,-217.6828094,-54.34514848,-333.5739444,-19.30485526,-333.3774788
0.093,7.05E-12,-1.71E-13,-17.11340078,-217.6759348,-54.23207108,-333.5726918,-19.35895044,-333.4021346
0.094,6.59E-12,-5.68E-14,-16.95673245,-217.6213182,-54.11208159,-333.5234109,-19.41183901,-333.3815687
0.095,-4.55E-13,2.84E-13,-16.75766944,-217.5508682,-53.95173992,-333.458916,-19.42938064,-333.3479682
0.096,-5.00E-12,2.19E-12,-16.5686383,-217.5290379,-53.80313496,-333.4431655,-19.46296399,-333.3646642
0.097,-5.23E-12,3.13E-13,-16.42404536,-217.4660004,-53.70033536,-333.385838,-19.54595749,-333.3407081
0.098,6.82E-13,3.27E-12,-16.26125996,-217.3780652,-53.58037281,-333.3027485,-19.61469257,-333.2912876
